id,branche,bran_4,filter,ost,gb,bges,gk3n,bhsp,bhspno,um,umx,lp,lpx,exs,exsx,exno,umpr1,pd,pz,pdpp,pddl,umneu,umunw,mneu,mneup,pzfv,pzlv,pziv,pzua,pzgp,pzao,pzmm,rek,rekp,pn,pa,pok,fuekon,fuesp,fuespx,fueint,fueext,fueexti,fueexta,fueoef,fueoefmno,iafueno,iavfueno,iavfueewr,iavfueso,iasono,ias,iasx,iainvs,iainvsx,iafues,iafuesx,iavfues,iavfuesx,iasos,iasosx,fue_bkosts,fue_bkostsx,fues,fuesx,fueoefms,fueoefmsx,iagesno,iainvno,pdz2022,pdz2023,iae2022,iae2023,iap2022,iap2022x,iap2023,iap2023x,uk1z,uk1r,uk1s,uk1l,uk2k,uk2m,uk2e,uk2i,uk3v,uk3a,uk3l,uk3r,uk4z,uk4s,uk4w,uk4b,ghvar,ghf1,ghf2,ghf3,ghe1,ghe2,ghe3,ghp1,ghp2,ghvarp,maein1,maein2,maein3,maein4,maein5
349975,Food/Tobacco,Other Industry,yes,yes,Sector,66.44198656082153,50-249 employees,5<=x<10,no,8.384400947570802,No truncation,.10829851,No truncation,.00068908487,No truncation,no,40<=x<50,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,3,3,2,3,2,3,2,3,3,2,2,2,2,1,2,2,yes,yes,no,no,no,no,yes,no,yes,90<=x<=100,no,no,yes,yes,no
350002,Wood/Paper,Other Industry,no,no,Sector,66.3273149728775,50-249 employees,10<=x<15,no,27.79430341720581,No truncation,.40000001,No truncation,.22727273,No truncation,no,90<=x<=100,yes,yes,yes,no,10<=x<15,75<=x<=100,no,x=0,no,no,no,no,no,no,no,yes,5<=x<10,yes,yes,yes,continuously,.095238097,No truncation,yes,no,,,no,,no,,,,yes,.00090909092,No truncation,0,No truncation,.00090909092,No truncation,,,0,No truncation,.00090909092,No truncation,.00090909092,No truncation,,,nein,yes,not known yet,not known yet,increase,,,,,,1,4,3,2,3,4,1,2,4,1,3,2,4,1,3,2,,no,yes,no,yes,no,no,no,yes,90<=x<=100,no,no,no,no,yes
350005,Energy/Water,Other Industry,yes,yes,Sector,12.00093805789948,<50 employees,15<=x<20,no,1.354505875468254,No truncation,.099588238,No truncation,.015948022,No truncation,no,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,3,3,2,4,2,1,3,3,1,1,2,3,1,2,1,no,,,,,,,,,,no,no,yes,no,no
350017,Glass/Ceramics,Other Industry,no,yes,Sector,81.64765620231628,50-249 employees,0<x<5,no,13.74181543397903,No truncation,.16387719,No truncation,.39621025,No truncation,no,40<=x<50,no,yes,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,no,.016593512,No truncation,.016593512,No truncation,0,No truncation,0,No truncation,.016593512,No truncation,,,0,No truncation,,,nein,no,No,No,,,,,,,1,4,2,3,1,4,2,3,3,1,4,2,4,2,1,3,yes,yes,no,no,yes,no,yes,no,yes,0<x<10,no,no,no,yes,no
350059,Machinery,Research-intensive Industry,no,no,,366.5859603881836,>=250 employees,,,71.28060340881348,No truncation,.18421052,No truncation,.78571427,No truncation,no,90<=x<=100,yes,yes,yes,no,15<=x<20,75<=x<=100,yes,10<=x<15,yes,no,no,yes,yes,no,no,yes,0<x<5,yes,yes,yes,continuously,.022222223,No truncation,yes,yes,yes,no,no,,no,no,100,0,no,.038571429,No truncation,.0014285714,No truncation,.021428572,No truncation,.0071428572,No truncation,.0028571428,No truncation,.0099999998,No truncation,.028571429,No truncation,,,nein,no,planned,planned,increase,increase,153.53352,No truncation,168.02115,No truncation,1,3,1,2,3,3,1,2,3,1,1,1,1,1,2,1,yes,no,yes,no,yes,no,no,yes,no,0<x<10,yes,no,no,yes,yes
350224,14,Other Services,no,yes,,57.21918511390686,50-249 employees,0<x<5,no,27.19677317142487,No truncation,.45833334,No truncation,.041558441,No truncation,no,40<=x<50,no,yes,no,no,,,,,no,no,yes,yes,no,yes,yes,no,x=0,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,3,4,2,2,3,1,4,4,1,2,3,3,1,4,2,yes,yes,yes,yes,no,yes,no,no,yes,20<=x<30,no,no,no,no,no
350320,Glass/Ceramics,Other Industry,yes,yes,,24.34275805950165,<50 employees,5<=x<10,no,3.24570107460022,No truncation,.12941177,No truncation,0,No truncation,yes,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,2,4,1,3,1,2,3,4,4,1,2,3,3,1,4,2,no,,,,,,,,,,no,no,no,no,no
350416,Metals,Other Industry,yes,no,Sector,39.73408341407776,<50 employees,10<=x<15,no,46.80939920067787,No truncation,1.1524565,No truncation,.1388716,No truncation,no,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,not known yet,,unknown,,,,,4,1,2,3,2,4,1,3,3,1,2,4,4,2,1,3,no,,,,,,,,,,yes,yes,no,no,no
350452,Metals,Other Industry,no,yes,,41.55169939994812,<50 employees,0<x<5,no,2.110539766073227,No truncation,.0491,No truncation,.047522064,No truncation,no,60<=x<70,no,yes,no,no,,,,,yes,,no,no,no,no,yes,yes,10<=x<15,no,no,no,ocassionally,.10344828,No truncation,yes,no,,,no,,no,yes,,,yes,.0067888661,No truncation,0,No truncation,.0067888661,No truncation,0,No truncation,0,No truncation,.0013577732,No truncation,.0067888661,No truncation,,,nein,yes,planned,not known yet,increase,unknown,200,truncation,,,1,4,2,3,4,2,1,3,2,3,1,4,4,2,3,1,no,,,,,,,,,,no,no,no,yes,yes
350527,Metals,Other Industry,no,yes,,85.94275617599487,50-249 employees,10<=x<15,no,7.623954176902771,No truncation,.08730159,No truncation,.043272726,No truncation,no,90<=x<=100,yes,yes,no,yes,75<=x<=100,15<=x<20,no,x=0,yes,no,yes,yes,no,yes,no,yes,5<=x<10,yes,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,2,3,1,1,2,2,1,3,3,2,2,1,1,1,1,2,no,,,,,,,,,,no,no,no,no,no
